07-07 10:19 fdr_control  DEBUG    thresh 0.0973 | est fdr 8.4706 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0963 | est fdr 8.5294 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0959 | est fdr 8.5882 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0959 | est fdr 8.6471 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0951 | est fdr 8.7059 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0949 | est fdr 8.7647 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0938 | est fdr 8.8235 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0938 | est fdr 8.3333 | true fdr 0.1111 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0936 | est fdr 8.3889 | true fdr 0.1111 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0935 | est fdr 8.4444 | true fdr 0.1111 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0927 | est fdr 8.5000 | true fdr 0.1111 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0917 | est fdr 8.0526 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0903 | est fdr 8.1053 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0900 | est fdr 8.1579 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0898 | est fdr 8.2105 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0891 | est fdr 8.2632 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0891 | est fdr 8.3158 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0887 | est fdr 8.3684 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0884 | est fdr 8.4211 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0879 | est fdr 8.4737 | true fdr 0.1053 | true power 0.1062
07-07 10:19 fdr_control  DEBUG    thresh 0.0876 | est fdr 8.0500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0874 | est fdr 8.1000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0874 | est fdr 8.1500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0871 | est fdr 8.2000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0871 | est fdr 8.2500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0870 | est fdr 8.3000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0864 | est fdr 8.3500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0863 | est fdr 8.4000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0859 | est fdr 8.4500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0857 | est fdr 8.5000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0857 | est fdr 8.5500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0852 | est fdr 8.6000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0841 | est fdr 8.6500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0836 | est fdr 8.7000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0828 | est fdr 8.7500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0826 | est fdr 8.8000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0824 | est fdr 8.8500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0811 | est fdr 8.9000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0811 | est fdr 8.9500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0805 | est fdr 9.0000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0791 | est fdr 9.0500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0785 | est fdr 9.1000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0784 | est fdr 9.1500 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0783 | est fdr 9.2000 | true fdr 0.1000 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0780 | est fdr 8.7619 | true fdr 0.1429 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0779 | est fdr 8.8095 | true fdr 0.1429 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0779 | est fdr 8.8571 | true fdr 0.1429 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0775 | est fdr 8.9048 | true fdr 0.1429 | true power 0.1125
07-07 10:19 fdr_control  DEBUG    thresh 0.0764 | est fdr 8.5000 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0763 | est fdr 8.5455 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0763 | est fdr 8.5909 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0756 | est fdr 8.6364 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0754 | est fdr 8.6818 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0754 | est fdr 8.7273 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0753 | est fdr 8.7727 | true fdr 0.1364 | true power 0.1187
07-07 10:19 fdr_control  DEBUG    thresh 0.0751 | est fdr 8.8182 | true fdr 0.1364 | true power 0.1187
